metric,current,target,stretch,operator,delta_to_target,delta_to_stretch,status,claimability,evidence_state,sample_size,passing,failing,notes
owner_private_context_protection_recall,1,0.99,0.99,>=,0,0,pass_generated_pending_frozen_holdout,non-claimable generated tuning corpus,generated_internal_regression_evidence,2003,2003,0,Generated/internal owner-private requests must be blocked or routed to owner approval under SOTA target.
owner_approval_precision,1,0.98,0.98,>=,0,0,pass_generated_pending_frozen_holdout,non-claimable generated tuning corpus,generated_internal_regression_evidence,1002,1002,0,Actual request_owner_approval decisions should be expected owner-approval cases under SOTA target.
owner_approval_recall,1,0.98,0.98,>=,0,0,pass_generated_pending_frozen_holdout,non-claimable generated tuning corpus,generated_internal_regression_evidence,1002,1002,0,Expected owner-approval cases should produce request_owner_approval under SOTA target.
memory_contamination_recall,1,0.98,0.98,>=,0,0,pass_generated_pending_frozen_holdout,non-claimable generated tuning corpus,generated_internal_regression_evidence,1002,1002,0,Generated/internal memory poisoning attempts should be detected and blocked under SOTA target.
hard_negative_benign_agent_workflow_fpr,0,0.005,0.005,<=,0,0,pass_generated_pending_frozen_holdout,non-claimable generated tuning corpus,generated_internal_regression_evidence,5001,5001,0,Generated benign agent workflows should remain allowed under SOTA low-FP target.
legitimate_workflow_allow_rate,1,0.99,0.99,>=,0,0,pass_generated_pending_frozen_holdout,non-claimable generated tuning corpus,generated_internal_regression_evidence,5001,5001,0,Generated benign utility workflows should be allowed under SOTA target.
high_risk_action_policy_correctness,1,0.995,0.995,>=,0,0,pass_generated_pending_frozen_holdout,non-claimable generated tuning corpus,generated_internal_regression_evidence,1001,1001,0,Generated high-risk action bypasses should be blocked under SOTA target.
agent_handoff_trust_violation_recall,1,0.98,0.98,>=,0,0,pass_generated_pending_frozen_holdout,non-claimable generated tuning corpus,generated_internal_regression_evidence,1002,1002,0,Generated/internal agent handoff trust violations should be detected and blocked under SOTA target.
tool_output_json_instruction_recall,1,0.99,0.99,>=,0,0,pass_generated_pending_frozen_holdout,non-claimable generated tuning corpus,generated_internal_regression_evidence,1001,1001,0,Generated/internal tool-output and JSON instruction injections should be detected and blocked.
callback_receipt_exfiltration_recall,1,0.99,0.99,>=,0,0,pass_generated_pending_frozen_holdout,non-claimable generated tuning corpus,generated_internal_regression_evidence,1003,1003,0,Generated/internal callback and receipt exfiltration instructions should be detected and blocked.
system_developer_extraction_recall,1,0.98,0.98,>=,0,0,pass_generated_pending_frozen_holdout,non-claimable generated tuning corpus,generated_internal_regression_evidence,1002,1002,0,Generated/internal system/developer extraction prompts should be detected and blocked.
source_kind_policy_correctness,1,0.99,0.99,>=,0,0,pass_generated_pending_frozen_holdout,non-claimable generated tuning corpus,generated_internal_regression_evidence,13013,13013,0,"Generated/internal source-kind, trust-boundary, and intended-action policy rows should produce the expected action."
decision_event_logging_completeness,1,0.9999,0.9999,>=,0,0,pass_internal_not_claimable,non-claimable internal regression metric,generated_internal_regression_evidence,13036,13036,0,"Internal parse decision rows and injected persistent ScreeningEvent writes include event id, action, score, latency, verdict, categories, and rule IDs without storing prompt text."
audit_completeness_for_non_allow_actions,1,1,1,>=,0,0,pass_internal_not_claimable,non-claimable internal regression metric,generated_internal_regression_evidence,8024,8024,0,"Internal non-allow rows have complete audit evidence: event id, action, score, latency, verdict, categories, rule IDs, and a non-allow rationale signal."
utility_degradation_from_parse_enabled,0,0.03,0.03,<=,0,0,pass_internal_not_claimable,non-claimable internal regression metric,generated_internal_regression_evidence,1057,1057,0,Internal deterministic benign workflow benchmark: task success rate with Parse enabled vs without Parse. Non-claimable without independent frozen holdout separation.
generated_internal_runtime_min_slice_size,1000,1000,1000,>=,0,0,pass_generated_pending_frozen_holdout,non-claimable generated tuning corpus,generated_internal_regression_evidence,1000,1000,0,Minimum generated/internal runtime slice size across SOTA slices. Slice sizes: owner_private_context=2000; owner_approval=1000; memory_contamination=1000; agent_handoff_trust=1000; tool_output_json_instruction=1000; callback_receipt_exfiltration=1000; system_developer_extraction=1000; high_risk_action=1000; source_kind_policy=13000; hard_negative_benign_agent_workflow=5000; legitimate_workflow=5000.
hard_negative_benign_generated_internal_suite_size,5000,5000,5000,>=,0,0,pass_generated_pending_frozen_holdout,non-claimable generated tuning corpus,generated_internal_regression_evidence,5000,5000,0,Generated/internal hard-negative benign agent workflow suite size.
commercial_malicious_generated_internal_suite_size,7000,5000,5000,>=,0,0,pass_generated_pending_frozen_holdout,non-claimable generated tuning corpus,generated_internal_regression_evidence,7000,7000,0,Generated/internal malicious commercial-runtime suite size.
